Year,Sector,Fuel,ktoe
1995,Residential,NonRenWaste,0
1996,Residential,NonRenWaste,0
1997,Residential,NonRenWaste,0
1998,Residential,NonRenWaste,0
1999,Residential,NonRenWaste,0
2000,Residential,NonRenWaste,0
2001,Residential,NonRenWaste,0
2002,Residential,NonRenWaste,0
2003,Residential,NonRenWaste,0
2004,Residential,NonRenWaste,0
2005,Residential,NonRenWaste,0
2006,Residential,NonRenWaste,0
2007,Residential,NonRenWaste,0
2008,Residential,NonRenWaste,0
2009,Residential,NonRenWaste,0
2010,Residential,NonRenWaste,0
2011,Residential,NonRenWaste,0
2012,Residential,NonRenWaste,0
2013,Residential,NonRenWaste,0
2014,Residential,NonRenWaste,0
2015,Residential,NonRenWaste,0
2016,Residential,NonRenWaste,0
2017,Residential,NonRenWaste,0
1990,Industry,NonRenWaste,0
1991,Industry,NonRenWaste,0
1992,Industry,NonRenWaste,0
1993,Industry,NonRenWaste,0
1994,Industry,NonRenWaste,0
1995,Industry,NonRenWaste,0
1996,Industry,NonRenWaste,0
1997,Industry,NonRenWaste,0
1998,Industry,NonRenWaste,0
1999,Industry,NonRenWaste,0
2000,Industry,NonRenWaste,0
2001,Industry,NonRenWaste,0
2002,Industry,NonRenWaste,0
2003,Industry,NonRenWaste,0
2004,Industry,NonRenWaste,0
2005,Industry,NonRenWaste,0
2006,Industry,NonRenWaste,0
2007,Industry,NonRenWaste,0
2008,Industry,NonRenWaste,0
2009,Industry,NonRenWaste,13
2010,Industry,NonRenWaste,9
2011,Industry,NonRenWaste,14
2012,Industry,NonRenWaste,27
2013,Industry,NonRenWaste,39
2014,Industry,NonRenWaste,42
2015,Industry,NonRenWaste,44
2016,Industry,NonRenWaste,42
2017,Industry,NonRenWaste,70
1990,Services,NonRenWaste,0
1991,Services,NonRenWaste,0
1992,Services,NonRenWaste,0
1993,Services,NonRenWaste,0
1994,Services,NonRenWaste,0
1995,Services,NonRenWaste,0
1996,Services,NonRenWaste,0
1997,Services,NonRenWaste,0
1998,Services,NonRenWaste,0
1999,Services,NonRenWaste,0
2000,Services,NonRenWaste,0
2001,Services,NonRenWaste,0
2002,Services,NonRenWaste,0
2003,Services,NonRenWaste,0
2004,Services,NonRenWaste,0
2005,Services,NonRenWaste,0
2006,Services,NonRenWaste,0
2007,Services,NonRenWaste,0
2008,Services,NonRenWaste,0
2009,Services,NonRenWaste,0
2010,Services,NonRenWaste,0
2011,Services,NonRenWaste,0
2012,Services,NonRenWaste,0
2013,Services,NonRenWaste,0
2014,Services,NonRenWaste,0
2015,Services,NonRenWaste,0
2016,Services,NonRenWaste,0
2017,Services,NonRenWaste,0
1990,Agri & Fisheries,NonRenWaste,0
1991,Agri & Fisheries,NonRenWaste,0
1992,Agri & Fisheries,NonRenWaste,0
1993,Agri & Fisheries,NonRenWaste,0
1994,Agri & Fisheries,NonRenWaste,0
1995,Agri & Fisheries,NonRenWaste,0
1996,Agri & Fisheries,NonRenWaste,0
1997,Agri & Fisheries,NonRenWaste,0
1998,Agri & Fisheries,NonRenWaste,0
1999,Agri & Fisheries,NonRenWaste,0
2000,Agri & Fisheries,NonRenWaste,0
2001,Agri & Fisheries,NonRenWaste,0
2002,Agri & Fisheries,NonRenWaste,0
2003,Agri & Fisheries,NonRenWaste,0
2004,Agri & Fisheries,NonRenWaste,0
2005,Agri & Fisheries,NonRenWaste,0
2006,Agri & Fisheries,NonRenWaste,0
2007,Agri & Fisheries,NonRenWaste,0
2008,Agri & Fisheries,NonRenWaste,0
2009,Agri & Fisheries,NonRenWaste,0
2010,Agri & Fisheries,NonRenWaste,0
2011,Agri & Fisheries,NonRenWaste,0
2012,Agri & Fisheries,NonRenWaste,0
2013,Agri & Fisheries,NonRenWaste,0
2014,Agri & Fisheries,NonRenWaste,0
